Row Labels	Count of Email
S0925963513000526	9
S1631072112000605	5
S1631072112001143	5
S1631072112000630	4
S1631072114001089	4
S1631072112000447	4
S1631072112000472	4
S0925963512002154	4
S1631072112000691	3
S1631072112000502	3
S1631072112001155	3
S1631072114001247	3
S1631072112000587	3
S0925963513002070	3
S1631072112001015	3
S0925963514001241	3
S1631072111001860	3
S1631072112001507	3
S1631072112000393	2
S0925963512000854	2
S0925963512000088	2
S0925963512001021	2
S1631072111001690	2
S0925963512001288	2
S1631072112000514	2
S0925963512001379	2
S1631072112000721	2
S092596351200204X	2
S0925963514001484	2
S0925963512002087	2
S163107211100194X	2
S0925963512002099	2
S0925963511003116	2
S0925963511002901	2
S1631072112000551	2
S0925963511003281	2
S163107211200068X	2
S0925963512002361	2
S0925963512000532	2
S0925963513000162	2
S0925963514001460	2
S0925963513000228	2
S0925963514001502	2
S0925963513000496	2
S0925963511004158	2
S0925963513000502	2
S1631072111001951	2
S092596351300068X	2
S163107211200040X	2
S0925963513000708	2
S0925963512000064	2
S0925963513000824	2
S1631072112000538	2
S0925963513000939	2
S1631072112000575	2
S1631072112001301	2
S1631072112000642	2
S1631072112001520	2
S0925963512000234	2
S1631072114001107	2
S0925963512000386	2
S0925963511003773	2
S1631072112001295	2
S092596351300215X	2
S0925963511003931	2
S0925963513001775	2
S1631072112001532	2
S0925963513001787	2
S1631072114001235	2
S0925963513002033	2
S0925963512002294	2
S1631072112000733	1
S0925963511003700	1
S0925963513000654	1
S0925963512000179	1
S1631072112000411	1
S0925963512000180	1
S0925963513000289	1
S0925963512000192	1
S0925963513000897	1
S0925963512000209	1
S0925963514001642	1
S0925963512000210	1
S092596351100416X	1
S0925963512000222	1
S0925963512000143	1
S0925963511003293	1
S0925963513000472	1
S0925963512000246	1
S0925963513000812	1
S0925963512000258	1
S0925963513001763	1
S092596351200026X	1
S0925963514001435	1
S0925963512000271	1
S1631072111001938	1
S0925963512000283	1
S1631072112000496	1
S0925963512000295	1
S1631072112000654	1
S0925963512000301	1
S1631072112001313	1
S0925963512000313	1
S0925963513000241	1
S0925963512000325	1
S0925963513000435	1
S0925963512000337	1
S0925963513000514	1
S0925963512000349	1
S0925963513000691	1
S0925963512000350	1
S092596351300085X	1
S0925963512000362	1
S0925963513000940	1
S0925963512000374	1
S0925963513001805	1
S092596351100330X	1
S0925963513002082	1
S0925963512000398	1
S0925963514001496	1
S0925963512000404	1
S1631072111001896	1
S0925963512000416	1
S1631072112000289	1
S0925963512000428	1
